tract,prostitution,theft,liquor_law_violation,burglary,public_peace_violation,homicide,battery,arson,narcotics,gambling,offense_involving_children,assault,motor_vehicle_theft,intimidation,public_indecency,weapons_violation,robbery,kidnapping,interference_with_public_officer,crim_sexual_assault,criminal_trespass,criminal_damage,sex_offense,stalking,deceptive_practice,obscenity
17031823304,-0.242676907,-1.047798439,-0.603721657,-1.438742808,-0.751832699,-0.537412997,-1.101568947,-0.522794606,-0.621650421,-0.393732288,-0.873152565,-1.073552088,-1.45906463,-0.284556406,-0.133796304,-0.757496722,-0.940015838,-0.394187556,-0.652269171,-0.776352804,-0.48551089,-1.597025855,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031770602,-0.242676907,-1.026492735,-0.603721657,-1.438742808,-0.751832699,-0.537412997,-1.101568947,-0.522794606,-0.621650421,-0.393732288,-0.873152565,-1.047621902,-1.45906463,-0.284556406,-0.133796304,-0.757496722,-0.967875742,-0.394187556,-0.652269171,-0.776352804,-0.48551089,-1.575125094,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031050700,-0.242676907,-0.625831294,-0.603721657,-0.559887882,-0.751832699,-0.537412997,-0.982514135,-0.522794606,-0.621650421,-0.393732288,-0.873152565,-1.073552088,-0.852044415,-0.284556406,-0.133796304,-0.757496722,-0.734976376,-0.394187556,-0.652269171,-0.776352804,-0.391980115,-0.984669451,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031291600,-0.242676907,-0.947712114,-0.603721657,-0.405151102,0.951982725,-0.537412997,-0.181461451,-0.522794606,-0.545690983,-0.393732288,-0.873152565,0.144552199,-0.84715373,-0.284556406,-0.133796304,-0.33231097,-0.967875742,-0.394187556,-0.652269171,-0.776352804,-0.234085982,-0.979735774,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031380500,-0.242676907,-0.486143797,-0.603721657,0.632760325,-0.751832699,2.69999663,0.918879867,-0.522794606,-0.515084986,1.243291721,0.499957377,0.122684636,-0.314444065,-0.284556406,-0.133796304,-0.757496722,0.130034168,-0.394187556,-0.652269171,-0.776352804,-0.309145679,0.134998175,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031230800,-0.067469424,-0.619219757,-0.603721657,-0.371776811,0.16015374,-0.537412997,-0.394941491,1.645584056,1.025004529,-0.393732288,1.484332998,0.19785585,0.014830345,-0.284556406,-0.133796304,-0.074740301,-0.088210938,-0.394187556,1.254142164,-0.776352804,0.019156685,-0.688394273,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031241300,-0.242676907,0.032562564,-0.603721657,1.665053809,-0.429175138,-0.537412997,-0.783384224,-0.522794606,-0.578496298,-0.393732288,-0.31710589,-0.935146054,-0.416147023,-0.284556406,-0.133796304,-0.515939927,0.365934035,-0.394187556,0.022212384,-0.776352804,0.15726765,-0.544940176,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031280900,0.734913886,-0.188423112,-0.603721657,-0.611900793,1.792435202,2.047015919,1.900267955,-0.522794606,1.164847837,-0.393732288,0.223003142,1.382053051,0.368439967,-0.284556406,-0.133796304,0.671073243,-0.617290497,-0.394187556,2.006992501,-0.776352804,2.048756089,1.16832886,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031580200,-0.242676907,-0.647263313,-0.603721657,-0.28648024,0.441403612,0.155199247,-0.513221405,0.287802707,-0.416462692,-0.393732288,-0.579389073,-0.634826618,0.010217871,-0.284556406,-0.133796304,-0.3746481,-0.639033764,-0.394187556,-0.295935673,-0.776352804,-0.334584416,-0.855926526,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031390500,-0.242676907,-0.56323365,-0.603721657,-0.561400304,-0.751832699,-0.537412997,-0.626169226,-0.522794606,-0.521353541,-0.393732288,-0.226983181,-0.269359332,-0.920419658,-0.284556406,-0.133796304,0.084626498,-0.554544952,-0.394187556,-0.652269171,0.129026541,-0.319520103,-0.442343169,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031222500,-0.242676907,-0.34885044,1.37613911,-0.112980803,0.947954793,-0.537412997,-0.383187146,-0.522794606,-0.309058477,-0.393732288,-0.873152565,-0.800126551,-0.543368178,-0.284556406,-0.133796304,-0.121225844,-0.616544571,-0.394187556,0.236037387,0.249743787,0.078857785,-0.442343169,-0.764085418,-0.384012511,-0.395578049,-0.152108981
17031340300,-0.242676907,-0.65365483,-0.603721657,-0.828194516,-0.416348326,-0.537412997,-0.959783065,-0.522794606,-0.621650421,-0.393732288,-0.873152565,-0.92964391,-0.736146378,-0.284556406,-0.133796304,-0.757496722,-0.690509028,-0.394187556,-0.652269171,-0.776352804,-0.411251854,-0.867752579,0.352263204,-0.384012511,-0.395578049,-0.152108981
17031161100,-0.242676907,0.200457123,-0.603721657,-0.350563623,5.365484186,-0.537412997,-0.466567302,1.00823686,-0.212567416,-0.393732288,0.236550472,-0.106792264,0.506656664,-0.284556406,-0.133796304,-0.516459125,-0.879146214,-0.394187556,0.020762665,-0.776352804,-0.271711902,-0.430554361,0.307273335,-0.384012511,-0.395578049,-0.152108981
17031836900,1.353873937,0.538752585,-0.603721657,0.289712511,-0.751832699,1.150889388,1.210629063,-0.522794606,1.295640606,0.459972327,1.27506937,0.88707208,1.227062967,-0.284556406,-0.133796304,0.486805549,1.665889833,-0.394187556,0.21632462,-0.776352804,0.158307744,0.510550311,3.383900656,-0.384012511,-0.395578049,-0.152108981
17031381500,-0.242676907,0.734329372,-0.603721657,1.190405472,4.30449718,-0.537412997,2.81618834,-0.522794606,1.238073806,-0.393732288,3.483719489,0.553156802,3.08078065,-0.284556406,-0.133796304,1.135207788,3.21252047,-0.394187556,4.632592633,5.328272485,0.63370125,2.524752848,7.648567069,-0.384012511,-0.395578049,-0.152108981
