geoid,clusternum,wkt
17031300600,4,"POLYGON((1151419.4013 1887792.6688,1151417.445425 1887875.74145,1151416.26095 1887927.115525,1151415.489525 1887958.814125,1151412.23555 1888071.030725,1151408.979 1888183.61175,1151405.686 1888301.2943,1151404.927625 1888331.170925,1151402.393025 1888418.976875,1151401.6763 1888443.023175,1151401.23985 1888465.9782,1151400.8945 1888476.179375,1151400.458025 1888499.1344,1151397.8636 1888595.321475,1151388.3172 1888939.9901,1151387.192675 1888982.983075,1151386.06555 1889026.340425,1151383.8139 1889112.690775,1151450.2827 1889114.258975,1151649.413975 1889119.327125,1151715.607675 1889121.258525,1152048.511975 1889126.9236,1152114.708275 1889128.491725,1152128.60035 1889128.955825,1152208.96115 1889130.990275,1152293.9509 1889133.422675,1152313.02205 1889133.559675,1152378.94325 1889135.490975,1152445.687 1889136.699575,1152644.823275 1889141.0474,1152711.29195 1889142.619175,1152712.77795 1889087.603125,1152713.907525 1889044.2458,1152716.795575 1888945.874375,1152717.500525 1888923.6501,1152717.92515 1888902.51705,1152718.630125 1888880.292775,1152718.9839 1888868.99845,1152719.694125 1888846.045375,1152721.44995 1888791.395675,1152728.837675 1888560.045,1152731.028675 1888482.804675,1152734.708375 1888350.183925,1152738.4432 1888209.910875,1152745.7476 1887952.321725,1152746.130275 1887937.01905,1152747.91245 1887878.7254,1152749.424775 1887820.065425,1152753.374425 1887687.811075,1152764.94585 1887291.7749,1152768.6205 1887159.883025,1152772.583425 1887025.80675,1152784.464425 1886624.671125,1152788.15235 1886490.9573,1152721.67875 1886489.020975,1152704.5154 1886488.533,1152621.1483 1886486.475375,1152538.0563 1886484.0556,1152521.71035 1886483.573625,1152454.96165 1886482.0005,1152388.488 1886480.065125,1152371.5945 1886479.94375,1152288.49985 1886477.88925,1152205.1353 1886475.4687,1152188.5169 1886474.985025,1152121.76815 1886473.41285,1152055.294475 1886471.478425,1152038.1311 1886470.990925,1151954.49405 1886468.569325,1151871.9469 1886466.155825,1151855.873425 1886465.676275,1151789.399725 1886463.7426,1151722.926025 1886461.809125,1151705.760025 1886461.686275,1151622.120325 1886459.63025,1151539.5653 1886458.3111,1151523.491825 1886457.831775,1151456.7404 1886456.6259,1151453.0549 1886591.06865,1151441.993275 1886995.12575,1151440.918125 1887031.19515,1151437.2154 1887129.92515,1151433.8181 1887262.1835,1151423.073575 1887660.04795,1151419.4013 1887792.6688))"
17031030104,0,"POLYGON((1168634.962875 1942707.022775,1169775.311625 1942777.3088,1169788.534575 1942721.29205,1169919.885025 1942101.351425,1168787.028 1942042.0512,1168756.733275 1942022.860725,1168702.1041 1942021.334475,1168537.39825 1942017.114425,1168482.49435 1942015.950925,1168405.034325 1942013.88025,1168285.168825 1942011.474525,1168172.10195 1942008.758675,1168094.367175 1942007.0513,1168098.67395 1941874.797575,1168105.5542 1941657.652225,1167915.56515 1941653.23695,1167724.503075 1941646.992625,1167717.883825 1941865.9622,1167713.8482 1941998.582525,1167666.5555 1941997.48095,1167524.674525 1941994.541225,1167523.04355 1941994.528375,1167515.704125 1941994.4706,1167497.760475 1941994.69375,1167477.3761 1941994.16885,1167456.1762 1941993.63755,1167413.51035 1941991.844075,1167363.774025 1941990.35945,1167221.0718 1941988.143975,1167156.6509 1941987.27325,1167150.718525 1942119.514275,1167132.106225 1942516.231025,1167125.90225 1942648.46995,1167162.5954 1942649.122725,1167272.669175 1942651.810175,1167309.08765 1942652.825425,1167338.17265 1942653.0542,1167341.43165 1942653.444275,1167424.86965 1942655.5585,1167430.57505 1942655.967825,1167453.67995 1942656.149675,1167469.44565 1942656.273775,1167489.55765 1942656.796525,1167491.188575 1942656.809375,1167504.23605 1942656.9121,1167603.986275 1942658.790975,1167641.2202 1942659.813175,1167727.9229 1942661.5898,1167883.657 1942665.368975,1167988.025275 1942667.65035,1168074.450375 1942670.154925,1168136.966625 1942671.0132,1168264.170825 1942673.111825,1168323.965975 1942674.3135,1168362.28715 1942675.34545,1168386.219025 1942674.077075,1168429.438775 1942674.419025,1168558.010725 1942675.4368,1168600.955775 1942676.14135,1168599.944025 1942700.914525,1168635.838975 1942699.3767,1168634.962875 1942707.022775))"
17031040100,0,"POLYGON((1162268.41335 1934541.30705,1162146.07315 1934537.456975,1162063.424425 1934535.003775,1161987.02975 1934532.5986,1161890.51325 1934530.0402,1161757.845675 1934525.384575,1161721.958225 1934524.38225,1161681.176275 1934523.342725,1161624.89785 1934521.820825,1161456.328875 1934517.986825,1161399.77575 1934516.8278,1161299.455075 1934513.8785,1161075.154175 1934508.166,1160998.48745 1934505.762,1160897.892025 1934503.176775,1160865.53945 1934502.2026,1160767.66595 1934499.27415,1160735.038675 1934498.6625,1160602.36255 1934495.10665,1160204.062075 1934484.4416,1160071.11115 1934481.251125,1160004.7744 1934479.2928,1159805.492175 1934473.4169,1159738.880725 1934471.8217,1159673.9035 1934469.87455,1159572.492125 1934467.2889,1159478.694425 1934464.760975,1159413.4398 1934463.541325,1159411.043125 1934529.119875,1159407.301225 1934628.944275,1159403.84495 1934726.948725,1159401.445575 1934792.891675,1159399.043475 1934859.19905,1159391.834475 1935058.48555,1159389.429675 1935125.15735,1159384.6283 1935257.407675,1159374.070225 1935540.486925,1159369.677875 1935654.5191,1159364.330125 1935787.1298,1159359.50975 1935921.931025,1159345.043425 1936327.063575,1159340.220475 1936462.22925,1159335.433175 1936592.657675,1159329.29535 1936758.0608,1159319.15665 1936949.3081,1159318.083475 1936983.556075,1159312.749825 1937114.344825,1159309.01945 1937212.71175,1159308.761925 1937246.96585,1159306.4862 1937441.187725,1159300.33015 1937645.219925,1159296.06775 1937778.20335,1159292.079975 1937910.8244,1159279.57035 1938309.047975,1159275.3081 1938442.031425,1159271.320475 1938574.652525,1159258.54215 1938972.509775,1159254.282775 1939105.128875,1159249.726925 1939241.025575,1159236.054075 1939649.444575,1159231.4956 1939785.70575,1159298.907425 1939787.305775,1159402.198625 1939789.904775,1159500.59365 1939792.8318,1159567.7281 1939795.159375,1159634.8653 1939797.12275,1159835.1839 1939803.734625,1159902.04645 1939806.061125,1160089.3214 1939811.84795,1160514.150425 1939825.62885,1160561.444875 1939827.08025,1160651.14035 1939829.94625,1160838.1404 1939836.101425,1161052.051225 1939842.8269,1161199.09685 1939847.588325,1161693.7776 1939863.743925,1161722.0449 1939864.688225,1161907.42175 1939869.74635,1161984.07355 1939871.789125,1162104.7546 1939875.62615,1162213.210525 1939878.277075,1162289.587625 1939880.683175,1162363.248975 1939882.704325,1162470.883725 1939886.079025,1162583.4118 1939889.4917,1162656.526625 1939891.874,1162755.1957 1939894.452475,1162822.3297 1939896.78945,1163050.3705 1939904.370525,1163148.762075 1939907.677375,1163160.72085 1939908.1337,1163181.91985 1939909.025475,1163196.05345 1939909.498525,1163207.740375 1939909.9528,1163217.796175 1939910.394525,1163226.22365 1939910.4593,1163227.580125 1939910.83415,1163281.67345 1939911.978925,1163299.884875 1939912.4834,1163304.78385 1939735.044975,1163319.481 1939202.72975,1163319.553875 1939193.2552,1163324.108275 1939025.289275,1163327.48555 1938904.325425,1163337.614725 1938541.7983,1163339.55705 1938466.0124,1163325.458975 1938425.452575,1163315.34645 1938396.949475,1163313.931 1938368.8777,1163317.577325 1938248.280375,1163328.479925 1937855.876325,1163332.614 1937707.2219,1163333.384775 1937677.709225,1163337.804775 1937527.2349,1163339.9181 1937464.569725,1163342.482675 1937378.584675,1163345.170575 1937276.565825,1163346.74015 1937213.89645,1163348.590025 1937150.135975,1163353.315625 1936959.9415,1163354.89085 1936896.54335,1163357.03505 1936829.869725,1163363.19305 1936630.2112,1163365.0626 1936563.8999,1163367.20685 1936497.2263,1163373.090275 1936297.9301,1163374.95985 1936231.618825,1163377.11255 1936163.852,1163383.021275 1935961.2762,1163384.134075 1935922.655525,1163396.551775 1935899.063325,1163408.969525 1935875.4711,1163410.354275 1935836.852525,1163415.9886 1935634.639075,1163417.8639 1935567.599,1163419.747625 1935499.465725,1163425.12415 1935295.428175,1163425.895025 1935265.91555,1163409.8244 1935234.086825,1163404.733825 1935224.20815,1163403.3238 1935195.4076,1163404.338525 1935169.541125,1163409.956 1934969.514175,1163411.8257 1934903.202925,1163413.970125 1934836.529375,1163419.853975 1934637.23335,1163421.7237 1934570.922125,1163409.490275 1934570.4636,1163375.503525 1934569.837775,1163372.51525 1934569.450375,1163367.892675 1934569.414825,1163360.0099 1934568.9898,1163344.7882 1934568.1439,1163335.81495 1934568.0749,1163298.570825 1934566.6953,1163283.071575 1934566.576175,1163254.795075 1934565.994425,1163170.237475 1934564.2515,1163141.68905 1934563.6678,1163089.214775 1934562.536,1163080.51345 1934562.4692,1162930.9846 1934558.04185,1162878.241175 1934556.544025,1162798.0398 1934554.107,1162677.325625 1934550.99545,1162556.88335 1934547.8866,1162476.407225 1934545.813,1162394.02765 1934543.7251,1162268.41335 1934541.30705))"
17031260400,6,"POLYGON((1147014.08425 1901092.280475,1147017.44945 1901000.1066,1147017.749675 1900996.1001,1147020.539825 1900908.2952,1147021.282425 1900879.8759,1147022.025025 1900851.4566,1147025.855475 1900731.590325,1147026.567625 1900707.543825,1147029.41365 1900611.722175,1147032.53455 1900515.538,1147033.241625 1900492.2203,1147037.072175 1900372.35405,1147040.905275 1900252.1234,1147041.894825 1900227.349975,1147044.740925 1900131.52835,1147047.861925 1900035.344225,1147048.278925 1900014.5754,1147051.54715 1899897.256175,1147055.1258 1899774.472875,1147056.1306 1899747.513075,1147058.976775 1899651.691475,1146925.554275 1899648.5759,1146525.011775 1899639.5963,1146391.31435 1899636.8463,1146273.9562 1899634.210325,1145921.067225 1899625.935925,1145803.434175 1899623.664825,1145788.18665 1899623.195025,1145743.530875 1899622.157575,1145741.896925 1899622.146275,1145735.088875 1899622.09925,1145726.374575 1899622.039025,1145723.261525 1899717.858875,1145713.92 1900005.682825,1145710.5322 1900101.8652,1145707.694075 1900197.32255,1145699.172225 1900484.7878,1145696.33165 1900580.609575,1145693.21625 1900676.79385,1145683.865125 1900966.07555,1145680.474975 1901062.622375,1145678.8718 1901097.595225,1145674.05975 1901202.878225,1145672.18175 1901238.2136,1145671.4257 1901268.819325,1145668.61295 1901360.63275,1145667.5846 1901391.236575,1145667.10335 1901421.4798,1145665.65465 1901512.938225,1145665.1709 1901543.545825,1145663.84005 1901578.520575,1145659.847525 1901683.44485,1145658.516675 1901718.4196,1145641.94575 1902264.564975,1146307.6095 1902281.92695,1146441.28675 1902285.4054,1146842.320875 1902295.480975,1146975.7232 1902299.324975,1146976.651725 1902283.297125,1146978.6154 1902235.93665,1146979.2691 1902220.2713,1146981.5736 1902163.07395,1146982.23745 1902145.951,1146984.933525 1902071.6288,1146987.314175 1902003.4995,1146987.939975 1901991.842525,1146989.697375 1901935.0058,1146991.172325 1901879.62475,1146991.49285 1901872.703075,1146992.64475 1901824.608125,1146993.68245 1901792.911125,1146997.14905 1901686.16125,1146998.5834 1901636.6106,1146998.942 1901624.22295,1146999.3285 1901607.8269,1147000.363675 1901576.4943,1147004.3488 1901434.39965,1147005.493125 1901387.3979,1147006.500375 1901360.0737,1147007.5051 1901333.113875,1147007.8104 1901328.3786,1147008.88365 1901291.58,1147009.9899 1901250.04425,1147011.89965 1901171.343625,1147012.583875 1901151.305475,1147014.08425 1901092.280475))"
17031030101,0,"POLYGON((1170250.4765 1940601.083525,1170296.4533 1940392.9973,1170308.0887 1939753.516875,1168826.123225 1939751.195825,1168826.4413 1939745.367475,1168692.5113 1939732.279925,1168684.809325 1939709.2599,1168658.7024 1939710.146375,1168580.109775 1939712.80385,1168553.728125 1939714.0527,1168476.263325 1939711.61745,1168356.3946 1939708.11825,1168243.32515 1939704.308975,1168165.585575 1939702.237,1168089.4829 1939699.449375,1167975.59495 1939695.99935,1167861.16325 1939692.5456,1167784.782925 1939690.48565,1167736.131975 1939688.64445,1167594.25415 1939683.518025,1167589.63545 1939683.117225,1167586.916875 1939683.0958,1167568.436325 1939682.221425,1167540.709775 1939681.6387,1167527.388775 1939681.533825,1167478.1941 1939679.6889,1167434.97455 1939678.61995,1167381.1583 1939676.73885,1167290.13485 1939669.827775,1167227.36445 1939665.690075,1167225.483925 1939732.00125,1167219.2901 1939932.023775,1167217.134875 1939998.697225,1167215.25725 1940064.644025,1167208.805975 1940262.842425,1167206.65365 1940329.151475,1167205.57465 1940362.670425,1167202.331875 1940463.956075,1167200.97815 1940497.837275,1167263.766325 1940499.424075,1167452.122275 1940505.27875,1167502.13075 1940507.13005,1167514.632875 1940507.5929,1167542.90215 1940508.1799,1167561.65675 1940508.692,1167563.559675 1940508.706975,1167569.53745 1940509.118475,1167710.3401 1940512.049825,1167759.264025 1940513.5287,1167754.162675 1940677.845825,1167944.712025 1940681.1708,1167949.800325 1940518.675725,1168064.230825 1940521.76555,1168140.3366 1940523.8243,1168218.073425 1940525.8962,1168329.782525 1940529.33025,1168450.465425 1940532.471425,1168527.9275 1940534.9066,1168558.09965 1940535.5099,1168648.610375 1940538.0488,1168678.5078 1940539.014475,1168711.670275 1940539.64165,1168810.06165 1940542.608075,1168842.9494 1940543.597675,1170250.4765 1940601.083525))"
17031071600,0,"POLYGON((1172973.756075 1912273.446475,1172960.4989 1912263.499825,1172934.124175 1912260.0068,1172932.7633 1912259.9958,1172815.4694 1912257.225875,1172808.6679 1912256.8065,1172766.7584 1912255.73915,1172743.629175 1912254.823525,1172673.419075 1912252.799,1172650.0118 1912252.610075,1172584.700875 1912250.62535,1172484.279025 1912248.35765,1172388.49005 1912245.398875,1172322.904 1912243.7771,1172257.051625 1912241.4245,1172159.626625 1912238.817925,1172058.9384 1912235.82105,1171992.80795 1912234.195825,1171988.756 1912365.7206,1171976.328125 1912760.292825,1171972.0041 1912891.81545,1171967.671325 1913024.4313,1171954.6673 1913423.007675,1171950.3317 1913555.98795,1172016.4584 1913557.613125,1172115.238725 1913560.2301,1172214.2912 1913562.849725,1172280.142775 1913564.837825,1172345.997275 1913566.461725,1172444.5054 1913569.077925,1172543.56075 1913571.334525,1172609.140125 1913573.321375,1172675.538925 1913574.9506,1172774.591325 1913577.572575,1172873.91585 1913580.197175,1172940.039525 1913582.18935,1173006.166125 1913583.817325,1173105.484725 1913587.1717,1173204.53705 1913589.795525,1173270.388525 1913591.786425,1173274.725725 1913459.535125,1173279.213475 1913308.69935,1173285.91565 1913086.089725,1173286.642975 1913063.501225,1173290.433 1912931.60995,1173294.740825 1912803.0027,1173306.848 1912417.174375,1173310.88375 1912288.56495,1173280.0923 1912292.6887,1173311.63175 1912263.425675,1173274.080075 1912262.0283,1173161.422075 1912258.2009,1173139.10645 1912257.6559,1173125.822825 1912250.98875,1173125.018075 1912249.52455,1173094.768 1912254.017325,1173004.009025 1912268.589125,1172973.756075 1912273.446475))"
17031030103,0,"POLYGON((1169919.885025 1942101.351425,1169958.024 1941920.898625,1170104.38225 1941260.99165,1168798.062525 1941198.849625,1168740.16935 1941197.297425,1168565.9375 1941193.73065,1168507.769575 1941192.5413,1168506.97785 1941223.875925,1168504.0503 1941318.968725,1168502.98385 1941350.6656,1168455.661 1941353.2065,1168425.492775 1941352.23895,1168304.536525 1941349.824525,1168192.55375 1941347.117225,1168114.813925 1941345.7742,1168038.707975 1941344.0799,1167925.363125 1941341.72755,1167809.852175 1941338.2654,1167733.47435 1941336.56995,1167684.824 1941335.09325,1167591.866925 1941332.9032,1167544.30105 1941331.79975,1167538.59245 1941331.7548,1167536.1459 1941331.735525,1167519.023 1941331.2363,1167509.7805 1941331.163525,1167502.715575 1941330.743475,1167489.670225 1941330.27635,1167476.89385 1941330.175775,1167427.15325 1941329.05545,1167239.0615 1941325.0251,1167176.27265 1941323.80275,1167172.511925 1941456.425225,1167171.129625 1941493.950525,1167170.697425 1941514.355125,1167160.686225 1941854.28845,1167156.6509 1941987.27325,1167221.0718 1941988.143975,1167363.774025 1941990.35945,1167413.51035 1941991.844075,1167456.1762 1941993.63755,1167477.3761 1941994.16885,1167497.760475 1941994.69375,1167515.704125 1941994.4706,1167523.04355 1941994.528375,1167524.674525 1941994.541225,1167666.5555 1941997.48095,1167713.8482 1941998.582525,1167717.883825 1941865.9622,1167724.503075 1941646.992625,1167915.56515 1941653.23695,1168105.5542 1941657.652225,1168098.67395 1941874.797575,1168094.367175 1942007.0513,1168172.10195 1942008.758675,1168285.168825 1942011.474525,1168405.034325 1942013.88025,1168482.49435 1942015.950925,1168537.39825 1942017.114425,1168702.1041 1942021.334475,1168756.733275 1942022.860725,1168787.028 1942042.0512,1169919.885025 1942101.351425))"
17031030102,0,"POLYGON((1168798.062525 1941198.849625,1170104.38225 1941260.99165,1170250.4765 1940601.083525,1168842.9494 1940543.597675,1168810.06165 1940542.608075,1168711.670275 1940539.64165,1168678.5078 1940539.014475,1168648.610375 1940538.0488,1168558.09965 1940535.5099,1168527.9275 1940534.9066,1168450.465425 1940532.471425,1168329.782525 1940529.33025,1168218.073425 1940525.8962,1168140.3366 1940523.8243,1168064.230825 1940521.76555,1167949.800325 1940518.675725,1167944.712025 1940681.1708,1167754.162675 1940677.845825,1167759.264025 1940513.5287,1167710.3401 1940512.049825,1167569.53745 1940509.118475,1167563.559675 1940508.706975,1167561.65675 1940508.692,1167542.90215 1940508.1799,1167514.632875 1940507.5929,1167502.13075 1940507.13005,1167452.122275 1940505.27875,1167263.766325 1940499.424075,1167200.97815 1940497.837275,1167200.182425 1940529.900725,1167197.51775 1940626.817775,1167196.447325 1940659.2435,1167194.5755 1940724.461525,1167189.893175 1940870.560575,1167188.413475 1940920.47565,1167186.26695 1940986.05595,1167184.37795 1941053.4604,1167181.8508 1941132.885975,1167178.436325 1941256.036025,1167176.27265 1941323.80275,1167239.0615 1941325.0251,1167427.15325 1941329.05545,1167476.89385 1941330.175775,1167489.670225 1941330.27635,1167502.715575 1941330.743475,1167509.7805 1941331.163525,1167519.023 1941331.2363,1167536.1459 1941331.735525,1167538.59245 1941331.7548,1167544.30105 1941331.79975,1167591.866925 1941332.9032,1167684.824 1941335.09325,1167733.47435 1941336.56995,1167809.852175 1941338.2654,1167925.363125 1941341.72755,1168038.707975 1941344.0799,1168114.813925 1941345.7742,1168192.55375 1941347.117225,1168304.536525 1941349.824525,1168425.492775 1941352.23895,1168455.661 1941353.2065,1168502.98385 1941350.6656,1168504.0503 1941318.968725,1168506.97785 1941223.875925,1168507.769575 1941192.5413,1168565.9375 1941193.73065,1168740.16935 1941197.297425,1168798.062525 1941198.849625))"
17031081401,4,"POLYGON((1179369.776 1905796.24095,1179430.268125 1905790.551125,1179460.237375 1905788.250575,1179494.81435 1905723.30735,1179598.5403 1905529.206775,1179632.842725 1905464.625875,1179660.5014 1905413.108775,1179684.507075 1905342.611,1179685.0638 1905341.157975,1179831.4802 1905024.239675,1179855.19385 1904988.7245,1179873.9458 1904960.456325,1179886.4296 1904932.8645,1179913.61815 1904872.59755,1179935.80835 1904823.950375,1180001.55665 1904678.7309,1180008.49465 1904663.118725,1180022.38895 1904629.708,1180003.623875 1904626.99975,1179996.823275 1904626.213925,1179947.380475 1904612.68035,1179928.6337 1904607.785775,1179863.14225 1904592.295825,1179707.1632 1904587.34595,1179639.1084 1904585.31895,1179505.981525 1904582.748125,1179362.236175 1904580.0894,1179238.90485 1904578.330775,1179137.3519 1904577.118925,1179082.644275 1904574.476025,1179036.918425 1904572.272575,1178944.631675 1904570.045525,1178643.811825 1904563.167225,1178530.3063 1904558.578725,1178392.02435 1904553.78485,1178259.187725 1904549.037,1178210.73305 1904547.54135,1177973.097225 1904539.00985,1177859.851725 1904535.88445,1177726.733625 1904532.230575,1177645.615725 1904529.37235,1177401.439175 1904521.52135,1177320.04595 1904519.026375,1177318.20275 1904577.31915,1177314.9964 1904668.763325,1177312.9454 1904752.1997,1177311.0992 1904810.856875,1177310.0698 1904869.5208,1177306.164825 1905045.50585,1177304.5879 1905104.529675,1177303.29225 1905162.46255,1177298.582575 1905336.983275,1177297.0117 1905395.2783,1177296.17205 1905430.985025,1177293.389875 1905537.009775,1177293.38085 1905538.102975,1177293.0827 1905574.1786,1177293.050775 1905610.985275,1177292.4575 1905682.772125,1177297.314125 1905721.076925,1177301.641275 1905757.5552,1177433.1189 1905761.1932,1177749.971275 1905770.01115,1177827.007075 1905772.10715,1177958.212325 1905775.74585,1178037.973675 1905777.500725,1178067.098775 1905778.47125,1178214.38815 1905779.693875,1178276.44995 1905781.667025,1178355.926875 1905784.878325,1178362.733225 1905784.9349,1178382.32945 1905785.8266,1178388.860525 1905786.245325,1178563.335825 1905792.43365,1178586.1991 1905793.352725,1179085.9811 1905806.6269,1179260.1961 1905811.360575,1179270.287725 1905809.258275,1179300.559625 1905803.3158,1179310.375975 1905801.57565,1179340.351275 1905798.54615,1179364.055625 1905796.5576,1179369.776 1905796.24095))"
17031740100,0,"POLYGON((1158160.637325 1836370.029975,1158164.71985 1836261.102275,1158167.111 1836196.255375,1158174.280075 1835928.468775,1158195.2363 1835125.8339,1158202.129975 1834858.4098,1158213.371425 1834593.93315,1158247.096875 1833800.50345,1158258.33635 1833536.391325,1158262.040475 1833404.867725,1158273.14755 1833011.02575,1158276.57595 1832879.864525,1158279.75825 1832745.05745,1158288.7563 1832340.996575,1158291.66285 1832206.5519,1158299.440625 1832004.36355,1158322.498675 1831398.16105,1158330.001 1831196.33515,1158333.77185 1831129.6766,1158344.806025 1830930.427725,1158348.301125 1830864.13155,1158359.734575 1830610.953475,1158394.036025 1829851.4194,1158405.4675 1829598.605825,1158406.60785 1829555.249875,1158288.88255 1829554.743225,1158262.415075 1829550.9034,1158213.2798 1829546.5316,1158207.28155 1829545.029625,1158190.09805 1829541.62295,1158168.825575 1829537.092825,1158163.917175 1829535.963325,1158141.5252 1829535.069025,1158116.126 1829534.516925,1158058.79115 1829530.813675,1158031.212225 1829529.51675,1157967.597825 1829525.402925,1157940.0189 1829524.106125,1157875.571625 1829521.80845,1157787.090825 1829518.969275,1157776.1653 1829518.8887,1157712.245475 1829519.1462,1157664.170375 1829519.15625,1157646.1459 1829518.659,1157545.91745 1829516.098575,1157447.330475 1829513.18625,1157380.965825 1829511.604625,1157382.6157 1829472.9897,1157386.746 1829357.1389,1157388.1201 1829318.88635,1157390.50665 1829254.404,1157397.66105 1829061.68575,1157399.771825 1828997.565775,1157400.79235 1828970.242825,1157402.201325 1828927.25325,1157404.6707 1828888.644375,1157406.234875 1828861.689825,1157339.322075 1828860.104325,1157236.6271 1828858.255925,1157138.58365 1828855.34895,1157071.3977 1828853.7622,1157070.33205 1828887.279725,1157066.861975 1828987.830325,1157065.520525 1829021.71025,1157062.35305 1829118.2546,1157052.02865 1829408.2461,1157048.58545 1829505.152875,1157046.478325 1829568.908475,1157039.88115 1829760.5377,1157037.49825 1829824.655725,1157035.3537 1829893.51275,1157028.103375 1830099.713475,1157025.683025 1830168.9329,1157021.15835 1830301.543575,1157008.07435 1830669.86235,1157007.030225 1830700.464825,1157001.137375 1830833.4299,1156996.883325 1830966.407,1156995.820475 1830999.5602,1156983.575075 1831365.3344,1156979.04535 1831498.673925,1156975.6108 1831631.6571,1156972.620575 1831741.321525,1156962.576125 1832030.58665,1156957.776125 1832163.559825,1156955.953125 1832225.859975,1156949.6648 1832412.75445,1156947.568725 1832475.0526,1156945.138 1832545.72965,1156937.299725 1832757.756825,1156934.59595 1832828.4319,1156930.06925 1832961.40715,1156916.486675 1833360.697325,1156911.95745 1833494.036975,1156907.44965 1833624.46155,1156893.926425 1834015.735325,1156889.416075 1834146.524325,1156887.256 1834217.56785,1156879.956575 1834430.692375,1156877.520775 1834502.098275,1156875.408875 1834566.582825,1156870.50255 1834714.131675,1156868.524425 1834760.39685,1156865.59065 1834825.239775,1156861.06445 1834958.21515,1156847.480725 1835357.870125,1156842.952 1835491.209925,1156838.4233 1835624.549725,1156834.684125 1835724.734275,1156830.566375 1836025.34005,1156829.581675 1836085.095625,1156826.308175 1836159.0463,1156823.350525 1836227.16875,1156813.92355 1836432.625325,1156811.343325 1836486.538675,1157611.59745 1836502.99295,1157926.384375 1836511.875225,1158092.1195 1836514.557575,1158154.60925 1836520.485775,1158157.2734 1836455.6409,1158160.637325 1836370.029975))"
